#Sample	ModeDepth	MinFilter	MaxFilter
Avahi_laniger_PD_0146	37	12.33333333	74
Avahi_laniger_PD_1043	27	9	54
Avahi_occidentalis_PD_1044	27	9	54
Avahi_peyrierasi_PD_0147	34	11.33333333	68
Avahi_peyrierasi_PD_0439	28	9.333333333	56
Cheirogaleus_crossleyi_PUB_0031	38	12.66666667	76
Cheirogaleus_major_DLC_2612	54	18	108
Cheirogaleus_major_DLC_2613	41	13.66666667	82
Cheirogaleus_major_PUB_0030	48	16	96
Cheirogaleus_medius_DLC_0606	42	14	84
Cheirogaleus_medius_DLC_1636	44	14.66666667	88
Cheirogaleus_medius_PUB_0029	43	14.33333333	86
Cheirogaleus_sibreei_PUB_0032	46	15.33333333	92
Daubentonia_madagascariensis_DLC_6201	38	12.66666667	76
Daubentonia_madagascariensis_DLC_6202	38	12.66666667	76
Daubentonia_madagascariensis_DLC_6261	42	14	84
Daubentonia_madagascariensis_DLC_6451	39	13	78
Daubentonia_madagascariensis_DLC_6452	43	14.33333333	86
Daubentonia_madagascariensis_DLC_6453	38	12.66666667	76
Daubentonia_madagascariensis_DLC_6454	40	13.33333333	80
Daubentonia_madagascariensis_PD_0148	32	10.66666667	64
Daubentonia_madagascariensis_PUB_0001	45	15	90
Daubentonia_madagascariensis_PUB_0002	40	13.33333333	80
Daubentonia_madagascariensis_PUB_0003	28	9.333333333	56
Eulemur_albifrons_DLC_5547	39	13	78
Eulemur_albifrons_DLC_5957	41	13.66666667	82
Eulemur_albifrons_PD_0149	37	12.33333333	74
Eulemur_cinereiceps_PD_1025	37	12.33333333	74
Eulemur_collaris_DLC_0521	47	15.66666667	94
Eulemur_collaris_DLC_3531	47	15.66666667	94
Eulemur_collaris_DLC_5919	46	15.33333333	92
Eulemur_collaris_DLC_5920	49	16.33333333	98
Eulemur_collaris_PD_0150	43	14.33333333	86
Eulemur_collaris_PD_0247	60	20	120
Eulemur_coronatus_DLC_4524	47	15.66666667	94
Eulemur_coronatus_DLC_4525	47	15.66666667	94
Eulemur_coronatus_DLC_6034	43	14.33333333	86
Eulemur_coronatus_DLC_6035	35	11.66666667	70
Eulemur_coronatus_DLC_6037	40	13.33333333	80
Eulemur_coronatus_PD_0151	31	10.33333333	62
Eulemur_flavifrons_DLC_6039	49	16.33333333	98
Eulemur_flavifrons_DLC_6040	48	16	96
Eulemur_flavifrons_DLC_6393	47	15.66666667	94
Eulemur_flavifrons_DLC_6394	46	15.33333333	92
Eulemur_flavifrons_DLC_6395	50	16.66666667	100
Eulemur_flavifrons_PD_0152	39	13	78
Eulemur_fulvus_DLC_6021	39	13	78
Eulemur_fulvus_DLC_6123	44	14.66666667	88
Eulemur_macaco_DLC_4539	48	16	96
Eulemur_macaco_DLC_5924	41	13.66666667	82
Eulemur_macaco_DLC_5999	39	13	78
Eulemur_macaco_PD_0153	39	13	78
Eulemur_macaco_PD_1036	13	4.333333333	26
Eulemur_mongoz_DLC_4504	40	13.33333333	80
Eulemur_mongoz_DLC_5716	49	16.33333333	98
Eulemur_mongoz_DLC_5717	41	13.66666667	82
Eulemur_mongoz_DLC_5719	36	12	72
Eulemur_mongoz_DLC_5722	33	11	66
Eulemur_mongoz_DLC_6552	57	19	114
Eulemur_rubriventer_DLC_6038	42	14	84
Eulemur_rubriventer_DLC_6120	48	16	96
Eulemur_rubriventer_DLC_6121	41	13.66666667	82
Eulemur_rubriventer_DLC_6122	41	13.66666667	82
Eulemur_rubriventer_DLC_6392	44	14.66666667	88
Eulemur_rubriventer_PUB_0004	16	5.333333333	32
Eulemur_rubriventer_PUB_0005	19	6.333333333	38
Eulemur_rufifrons_PUB_0006	22	7.333333333	44
Eulemur_rufifrons_PUB_0007	15	5	30
Eulemur_rufus_DLC_0516	48	16	96
Eulemur_rufus_DLC_1512	43	14.33333333	86
Eulemur_rufus_DLC_5728	37	12.33333333	74
Eulemur_rufus_DLC_5729	36	12	72
Eulemur_rufus_DLC_6306	40	13.33333333	80
Eulemur_sanfordi_DLC_5948	51	17	102
Eulemur_sanfordi_DLC_5949	47	15.66666667	94
